distancia,NTiendaPivote,NTienda,productividad,Cluster,Nombre Cadena,MacroZona,Bodega,no_herramientas,no_tramos anaquel,contactos de negociacion,exhibiciones adicionales,puertas,Tiempo no KOF,compEntregaNCB,compEntregaCSD,Frecuencia Xdock,Frecuencia Rojo,IC
0,1601003046,1601003046,3469.117181,Bajío,BODEGA AURRERA,BCM,1,6.5,8,6,8,13,5,28789.66605,44309.60657,22.5,13.5,1.577516314
0.192296728,1601003046,510012994,3072.27552,Centro - Pacífico,BODEGA AURRERA,BCM,1,5,6,3,6,22.5,2,19705.61804,25409.2683,15.75,15.75,1.080032321
0.156177714,1601003046,602905011,3676.808486,Bajío,BODEGA AURRERA,BCM,1,5.5,5,4.5,4,6,3,23368.92007,27419.51197,18,9,1.342057208
0.182787701,1601003046,1601056135,3932.536853,Bajío,BODEGA AURRERA,BCM,1,4,6,3,6,3,7,39434.55542,21743.07273,4.5,13.5,1.500871743
0.166400805,1601003046,602905007,5450.211604,Bajío,BODEGA AURRERA,BCM,1,6,10,3,8,12,8,23514.19965,32058.46731,13.5,13.5,0.83638366
0.176147148,1601003046,1601056292,3787.784462,Bajío,BODEGA AURRERA,BCM,1,4,8,5,4,13,3,22460.46094,12609.38202,22.5,13.5,0.799653607
0.190259695,1601003046,1601069002,3395.187497,Bajío,BODEGA AURRERA,BCM,1,7,5,6,8,8,4.5,17264.76992,25072.22252,15.75,13.5,0.425588974
0.192482844,1601003046,1922106963,4209.943293,Monarca,BODEGA AURRERA,BCM,1,4.5,10,2,8,9,4,3143.45466,31658.59155,13.5,13.5,0.995114251
0,100200003,100200003,3083.23341,Valle de México Oriente,BODEGA AURRERA,VDM,1.5,5.5,6,1.5,7,15.5,9,4730.184737,37823.67579,6.75,6.75,1.693040868
0.144011259,100200003,100200062,3088.056892,Valle de México Oriente,BODEGA AURRERA,VDM,2,5,4,2,6,10,6,4588.014313,31833.27435,4.5,4.5,1.424727344
0.174854159,100200003,100500093,3325.801802,Valle de México Oriente,BODEGA AURRERA,VDM,1,3,6,2,4,12,2,5893.539813,32602.53654,9,9,1.446956192
0.149000436,100200003,100000018,3380.20398,Valle de México Poniente,BODEGA AURRERA,VDM,1,6,7,1.5,5,15,7,5220.276698,37018.44851,9,13.5,1.244856642
0.183389872,100200003,101900056,4230.419687,Valle de México Oriente,BODEGA AURRERA,VDM,1.5,2.5,5,1.5,5,6,10,13716.02951,15432.94554,11.75,4.5,0.954405324
0.194996312,100200003,102705606,4188.361827,Valle de México Poniente,BODEGA AURRERA,VDM,1.5,5.5,7,3.5,4,8,4,3773.128667,28130.65878,6.75,13.5,0.774212312
0.19051677,100200003,104000225,4824.492003,Valle de México Poniente,BODEGA AURRERA,VDM,1,5,6,1.5,7,11,5.5,3060.444833,29648.42627,5,9,0.706042266
0.144011259,100200062,100200003,3083.23341,Valle de México Oriente,BODEGA AURRERA,VDM,1.5,5.5,6,1.5,7,15.5,9,4730.184737,37823.67579,6.75,6.75,1.693040868
0,100200062,100200062,3088.056892,Valle de México Oriente,BODEGA AURRERA,VDM,2,5,4,2,6,10,6,4588.014313,31833.27435,4.5,4.5,1.424727344
0.190180272,100200062,100500093,3325.801802,Valle de México Oriente,BODEGA AURRERA,VDM,1,3,6,2,4,12,2,5893.539813,32602.53654,9,9,1.446956192
0.177449033,100200062,101900019,3498.238304,Valle de México Oriente,BODEGA AURRERA,VDM,2,3,10,3,2,5,2,4237.927577,26278.50681,9,4.5,0.960257034
0.192370757,100200062,102705559,2959.208327,Valle de México Oriente,BODEGA AURRERA,VDM,1,5,4,2,6,6,6,3339.802282,30734.91597,2.75,13.5,0.807744586
0,100400064,100400064,2913.53122,Valle de México Oriente,BODEGA AURRERA,VDM,1,6.5,5,3.5,7,10,1,11253.02818,26611.00195,5,9,1.193537473
0.119397514,100400064,100500093,3325.801802,Valle de México Oriente,BODEGA AURRERA,VDM,1,3,6,2,4,12,2,5893.539813,32602.53654,9,9,1.446956192
0.128681466,100400064,100000018,3380.20398,Valle de México Poniente,BODEGA AURRERA,VDM,1,6,7,1.5,5,15,7,5220.276698,37018.44851,9,13.5,1.244856642
0.196297169,100400064,100200006,2276.528639,Valle de México Oriente,BODEGA AURRERA,VDM,1,7,6,2,4,6,10,3397.72925,21277.51133,1,9,0.379089029
0.164277971,100400064,100200105,3555.389041,Valle de México Oriente,BODEGA AURRERA,VDM,1,4,4,2,2,8,6,5172.373595,24172.69152,13.5,13.5,0.946786659
0.134624213,100400064,102705559,2959.208327,Valle de México Oriente,BODEGA AURRERA,VDM,1,5,4,2,6,6,6,3339.802282,30734.91597,2.75,13.5,0.807744586
0.163275883,100400064,100400084,3225.325636,Valle de México Oriente,BODEGA AURRERA,VDM,1,4,6,2,6,11,5,2875.09632,20752.87108,1,4.5,0.530996366
0.185634255,100400064,101900023,3290.328738,Valle de México Oriente,BODEGA AURRERA,VDM,1,4,10,3,8,12,5,3288.232583,11109.57584,4.5,4.5,0.498289357
0.17423065,100400064,102705606,4188.361827,Valle de México Poniente,BODEGA AURRERA,VDM,1.5,5.5,7,3.5,4,8,4,3773.128667,28130.65878,6.75,13.5,0.774212312
0.134824753,100400064,105110728,4217.888009,Valle de México Poniente,BODEGA AURRERA,VDM,1,5,8,4,8,10,7,3888.34553,19636.30475,4.5,9,0.690669181
0.15768984,100400064,100000155,3514.267218,Valle de México Poniente,BODEGA AURRERA,VDM,1,7,8,3,8,9,4,2337.046453,23926.58871,9,9,0.289478202
0.100678965,100400064,100200001,5021.563437,Valle de México Oriente,BODEGA AURRERA,VDM,1,5,8,3,6,12,3,4250.032919,26358.57749,4.5,9,0.806873431
0.138154224,100400064,100200010,3550.159227,Valle de México Oriente,BODEGA AURRERA,VDM,1,6,6,2,4,8,1,2929.910333,23771.32629,9,9,0.460752633
0.101588063,100400064,100400063,4363.471517,Valle de México Oriente,BODEGA AURRERA,VDM,1,7,6,3,8,9,4,3424.147448,25188.27903,9,4.5,0.843446364
0.187751845,100400064,100400074,3609.721112,Valle de México Oriente,BODEGA AURRERA,VDM,1,7,6,2,8,9,10,2761.501993,12482.23264,9,9,0.359104003
0.14755623,100400064,100400082,3952.40302,Valle de México Oriente,BODEGA AURRERA,VDM,1,5.5,6,4,4,9,2.5,2708.636833,10392.33841,4.5,13.5,0.538520525
0.101845756,100400064,100500017,5346.239086,Valle de México Oriente,BODEGA AURRERA,VDM,1,6,8,6,8,14,2,19668.18586,28681.3481,1,4.5,1.121706583
0.164246306,100400064,100500096,3356.266882,Valle de México Poniente,BODEGA AURRERA,VDM,1,5,6,2,8,13,0,2031.941973,20126.5447,1,9,0.227462565
0.188202202,100400064,100500187,2864.836782,Valle de México Oriente,BODEGA AURRERA,VDM,1,6,4,1,5,7,3,2214.244439,17752.91708,4.5,9,0.048046468
0.172706515,100400064,104000001,4398.061947,Valle de México Poniente,BODEGA AURRERA,VDM,1,6,6,3,8,11,10,3428.784223,19054.05583,4.5,9,0.265168795
0.116628185,100400064,104000225,4824.492003,Valle de México Poniente,BODEGA AURRERA,VDM,1,5,6,1.5,7,11,5.5,3060.444833,29648.42627,5,9,0.706042266
0.172243387,100400064,104000235,4250.608617,Valle de México Poniente,BODEGA AURRERA,VDM,1,4.5,9,2.5,8,11,5,3365.883,23237.38741,11.25,11.25,0.520050529
0.17878364,100400064,104000244,5154.04687,Valle de México Poniente,BODEGA AURRERA,VDM,1,8,4,6,4,15,10,4113.991807,23847.29244,4.5,4.5,0.742334045
0.190332919,100400064,104103609,4472.773913,Valle de México Poniente,BODEGA AURRERA,VDM,1,2,8,4,8,12,10,2692.826557,36578.41943,4.5,9,0.573065312
0.191547126,100400064,110000652,3717.877861,Valle de México Oriente,BODEGA AURRERA,VDM,1,4,6,4,8,8,10,3099.026993,19948.95215,9,9,0.318748
0.180024281,100400064,110028731,4478.007201,Valle de México Poniente,BODEGA AURRERA,VDM,1,5,4,1.5,3,8,6.5,2812.81582,40545.11064,6.75,11.25,0.623558806
0.14487046,100400064,110068713,3846.301449,Valle de México Poniente,BODEGA AURRERA,VDM,1,7,4,2,4,10,0,2621.336473,30934.72519,4.5,9,0.334653386
0.183876261,100400064,110177118,3971.840835,Valle de México Poniente,BODEGA AURRERA,VDM,1,6.5,7,5,8,8,5,3044.661383,19596.08115,11.75,11.25,0.226584545
0.193898737,100400064,120110696,3715.138209,Valle de México Oriente,BODEGA AURRERA,VDM,1,4,6,3.5,4,9,3,2648.351583,18171.31437,15.75,5,0.299710561
0.156044632,100400064,100000001,5087.502639,Valle de México Poniente,BODEGA AURRERA,VDM,1,5,8,2,6,16,1,2395.665633,25130.82396,6.75,9,0.342147982
0.194123998,100400064,104000018,4463.685908,Valle de México Poniente,BODEGA AURRERA,VDM,1,6,8,2,4,11,0,2255.602667,17537.70847,13.5,13.5,0.327049856
0.199264199,100400064,104238740,3927.081681,Valle de México Poniente,BODEGA AURRERA,VDM,1,6,6,6,6,12,5,2099.540568,19334.51796,9,9,0.012254647
0.17270793,100400064,110112662,4428.521991,Valle de México Poniente,BODEGA AURRERA,VDM,1,6,4,2,8,10,0,2370.610608,22215.29637,9,9,-0.027068291
0.191641018,100400064,110150942,3269.013785,Valle de México Poniente,BODEGA AURRERA,VDM,1,7,9,5.5,8,11,3,1421.444235,18455.00515,4.5,9,0.054657649
0.183442309,100400064,102705573,3787.837706,Valle de México Poniente,MERCADO SORIANA,VDM,1,5,8,2,8,9,2,1120.464108,13203.49931,4.5,9,0.651813999
0.174854159,100500093,100200003,3083.23341,Valle de México Oriente,BODEGA AURRERA,VDM,1.5,5.5,6,1.5,7,15.5,9,4730.184737,37823.67579,6.75,6.75,1.693040868
